RPM,Vibration,Class
-0.389920424,-0.431118396,-1
-0.49071618,-0.382357736,-1
-0.204244032,-0.295474127,-1
-0.082228117,-0.287255783,-1
0.108753316,-0.268888911,-1
0.087533156,-0.179512442,-1
-0.464190981,-0.130167417,-1
-0.347480106,-0.115427169,-1
-0.273209549,-0.080156117,-1
-0.066312997,-0.069488296,-1
-0.225464191,0.217211362,1
-0.103448276,0.43064565,1
-0.00795756,0.381266597,1
-0.289124668,0.265772938,1
-0.331564987,0.300784358,1
0.230769231,0.351104976,1
0.119363395,0.393565536,1
-0.262599469,0.40409071,1
0.448275862,0.430760191,1
0.389920424,0.476923117,1
0.167108753,0.490644278,1
