P20,P45,TYPE
0.449742644,0.449910314,negative
0.896431441,0.900647589,negative
0.695203703,0.375982658,negative
0.065575767,0.224364249,positive
0.17691409,0.705024725,negative
0.690378838,0.450525852,negative
0.779369527,0.919022776,negative
0.633558244,0.231215871,positive
0.854745284,0.97905208,negative
0.46936873,0.898840975,negative
0.589115141,0.598838314,negative
0.4453,0.4052,positive
0.999758635,0.849301262,positive
0.902670255,0.608007209,positive
0.331853132,0.147338587,positive
0.805738061,0.268729357,positive
0.828720298,0.145979716,positive
0.932502543,0.170347586,positive
0.668843286,0.545332553,negative
0.097314683,0.97323468,negative
0.382294635,0.928516982,negative
0.223058633,0.603400572,positive
0.772377225,0.630594545,negative
0.774610369,0.496536599,negative
0.344216289,0.648213606,negative
0.620098638,0.353338015,negative
0.954036696,0.62073321,positive
0.12176751,0.011640113,positive
0.623041873,0.895696775,negative
0.415082765,0.92264678,negative
0.305628518,0.674020451,negative
0.074111689,0.58470659,positive
0.870228933,0.407345666,positive
0.079465111,0.238164935,positive
0.511075036,0.545897936,negative
0.257809271,0.594295763,positive
0.982202807,0.652157858,positive
0.949591802,0.14179242,positive
0.176432052,0.405139275,positive
0.756725389,0.796596698,negative
0.87341931,0.922420547,negative
0.015668345,0.025355366,positive
0.216431802,0.241386417,positive
0.31963725,0.871617409,negative
0.471465677,0.386848903,positive
0.931159214,0.192884945,positive
0.80045775,0.81912038,negative
0.713892826,0.100442851,positive
0.980707427,0.753828965,positive
0.073738052,0.620320654,negative
