Frequency,Spend,Class
21.57145503,5.383249324,single
25.68862745,7.066972816,single
18.90316056,5.584219972,single
25.73581984,6.755966714,single
29.15503582,7.98692748,single
30.82689053,7.069169181,single
18.12944725,5.672111246,single
15.63858339,7.233961612,single
8.371780791,6.075262835,single
14.27983348,3.89021393,single
17.06739004,7.402876315,single
18.84844614,5.184328954,single
15.05136631,5.644296294,single
32.19367359,6.186040143,single
18.91529634,5.87970507,single
24.21290793,5.741806734,single
17.12210527,6.059432141,single
12.79046054,4.753188346,single
32.97164016,5.677265409,single
15.30377278,5.401596025,single
15.37823579,6.366397148,single
9.039721249,5.102939708,single
30.16808394,6.473669971,single
25.42207039,6.432896798,single
24.52076675,5.852325797,single
107.9174248,5.835058742,business
92.87119861,5.48296928,business
122.5772894,5.964539412,business
107.7352201,5.675805066,business
111.828823,6.696449339,business
104.9707212,6.708974952,business
107.8985226,5.352979114,business
98.31780911,6.238855326,business
78.79583771,7.14276039,business
103.4091008,6.20802156,business
103.9839599,6.685468842,business
116.1432631,5.171227187,business
115.3997275,5.595761055,business
114.7408897,5.024595104,business
118.7554407,6.699301215,business
119.8983747,5.033972583,business
125.2969949,5.681756618,business
97.52766254,5.466538917,business
124.8508991,5.537277043,business
132.1278083,5.825964475,business
130.0481531,4.144751455,business
123.2563833,6.384455482,business
135.5013692,5.523954755,business
111.5510072,7.241845304,business
102.6901011,7.412672162,business
56.43821815,0.822015227,family
59.43803161,1.322621327,family
62.29711872,2.223446776,family
68.67970965,1.92934543,family
52.92945952,2.16029591,family
53.18232669,2.647404419,family
52.41279471,1.996214191,family
46.05948068,1.424041333,family
65.31587633,2.224092352,family
68.79215106,1.780992895,family
51.6290815,1.797942217,family
56.49393732,2.745603284,family
61.52742325,2.576432182,family
55.29114773,1.718912071,family
57.60715035,2.612650426,family
53.50261168,2.196522791,family
60.20123353,0.970518311,family
52.25272598,1.338983261,family
68.95070752,1.945901437,family
52.53145638,2.623525601,family
58.52770073,1.292526361,family
77.33451411,2.429591594,family
55.14025467,1.21844006,family
73.6577421,1.357814402,family
57.58691096,2.059165802,family
