ID  ,  Rain  ,  Growth 		
1	 , 	2.153	 , 	14.016	
2	 , 	3.933	 , 	10.834	
3	 , 	1.699	 , 	13.026	
4	 , 	1.164	 , 	11.019	
5	 , 	4.793	 , 	4.162	
6	 , 	2.690	 , 	14.167	
7	 , 	3.982	 , 	10.190	
8	 , 	3.333	 , 	13.525	
9	 , 	1.942	 , 	13.899	
10	 , 	2.876	 , 	13.949	
11	 , 	4.277	 , 	8.643	
12	 , 	3.754	 , 	11.420	
13	 , 	2.809	 , 	13.847	
14	 , 	1.809	 , 	13.757	
15	 , 	4.114	 , 	9.101	
16	 , 	2.834	 , 	13.923	
17	 , 	3.872	 , 	10.795	
18	 , 	2.174	 , 	14.307	
19	 , 	4.353	 , 	8.059	
20	 , 	3.684	 , 	12.041	
21	 , 	2.140	 , 	14.641	
22	 , 	2.783	 , 	14.138	
23	 , 	3.960	 , 	10.307	
24	 , 	3.592	 , 	12.069	
25	 , 	3.451	 , 	12.335	
26	 , 	1.197	 , 	10.806	
27	 , 	0.723	 , 	7.822	
28	 , 	1.958	 , 	14.010	
29	 , 	2.366	 , 	14.088	
30	 , 	1.530	 , 	12.701	
31	 , 	0.847	 , 	9.012	
32	 , 	3.843	 , 	10.885	
33	 , 	0.976	 , 	9.876		
